Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                  58",6.445612908212e-01,2.008024185024e-01,1.625479715490e-02,7.535284098465e-01,1.916887887135e-01,1.504060246464e-02,1.089671190253e-01,-9.113629788867e-03,-1.214194690257e-03
"                  59",6.482418058095e-01,2.011460637637e-01,-1.628950739387e-02,7.576757015524e-01,1.919978973901e-01,-1.745897591396e-02,1.094338957429e-01,-9.148166373631e-03,-1.169468520085e-03
"                  60",6.518852910973e-01,2.058303986462e-01,-3.858563420184e-02,7.618836556159e-01,1.966558949601e-01,-3.972072507417e-02,1.099983645185e-01,-9.174503686129e-03,-1.135090872330e-03
"                  61",6.543061237927e-01,2.101725040618e-01,-3.082069458177e-02,7.649304977433e-01,2.010166187337e-01,-3.193885658080e-02,1.106243739506e-01,-9.155885328107e-03,-1.118161999024e-03
"                  62",6.540147243171e-01,2.096894015252e-01,4.285942254615e-03,7.652455517656e-01,2.005844820654e-01,3.185290028161e-03,1.112308274485e-01,-9.104919459772e-03,-1.100652226453e-03
"                  63",6.520972749231e-01,2.070894623827e-01,8.304226034219e-02,7.638644948894e-01,1.980451374330e-01,8.196144504357e-02,1.117672199664e-01,-9.044324949742e-03,-1.080815298620e-03
"                  64",6.507095783541e-01,2.042935386465e-01,1.673607931190e-01,7.629075238752e-01,1.952877102597e-01,1.663086715062e-01,1.121979455211e-01,-9.005828386765e-03,-1.052121612713e-03
"                  65",6.516918007417e-01,2.039128422415e-01,2.031298559404e-01,7.642808959737e-01,1.949129121262e-01,2.021067489662e-01,1.125890952319e-01,-8.999930115294e-03,-1.023106974184e-03
"                  66",6.545186405400e-01,2.069374325760e-01,1.781445245431e-01,7.674978095350e-01,1.979280635983e-01,1.771473636889e-01,1.129791689950e-01,-9.009368977690e-03,-9.971608541856e-04
"                  67",6.582185917150e-01,2.092472292354e-01,2.407235397457e-01,7.716364776262e-01,2.002350748500e-01,2.397398181858e-01,1.134178859112e-01,-9.012154385387e-03,-9.837215598749e-04
"                  68",6.605363962028e-01,2.105399840167e-01,2.463102315745e-01,7.744330357585e-01,2.015292980472e-01,2.453555631070e-01,1.138966395557e-01,-9.010685969522e-03,-9.546684674673e-04
"                  69",6.623505882317e-01,2.102189612041e-01,3.411503652316e-01,7.767330352147e-01,2.012207742154e-01,3.402299378769e-01,1.143824469830e-01,-8.998186988688e-03,-9.204273546513e-04
"                  70",6.602719625146e-01,2.116305486594e-01,4.665154689507e-01,7.751090242560e-01,2.026592718635e-01,4.656599324525e-01,1.148370617414e-01,-8.971276795950e-03,-8.555364981548e-04
"                  71",6.572994854263e-01,2.129917984872e-01,5.008788156181e-01,7.724682847559e-01,2.040819338450e-01,5.000954502048e-01,1.151687993295e-01,-8.909864642200e-03,-7.833654132948e-04
"                  72",6.543612795015e-01,2.133801799962e-01,3.179159485637e-01,7.697461194522e-01,2.045504817262e-01,3.171870967131e-01,1.153848399507e-01,-8.829698270010e-03,-7.288518506402e-04
"                  73",6.557174374022e-01,2.148037872354e-01,5.042254569003e-02,7.712737814647e-01,2.060528586549e-01,4.966627052660e-02,1.155563440625e-01,-8.750928580503e-03,-7.562751634288e-04
"                  74",6.602076878512e-01,2.160425555709e-01,-1.200153795132e-01,7.760139609871e-01,2.073641951699e-01,-1.208613684861e-01,1.158062731358e-01,-8.678360401042e-03,-8.459889729206e-04
"                  75",6.646040540532e-01,2.156884816110e-01,-1.004517467475e-01,7.807742685237e-01,2.070748245837e-01,-1.014210507739e-01,1.161702144705e-01,-8.613657027237e-03,-9.693040264914e-04
"                  76",6.654701934838e-01,2.140624802260e-01,3.780577114283e-02,7.820667123440e-01,2.054904586609e-01,3.674761827672e-02,1.165965188602e-01,-8.572021565118e-03,-1.058152866112e-03
"                  77",6.600823599939e-01,2.130186612064e-01,7.838782578377e-02,7.770511706180e-01,2.044848340218e-01,7.728897677716e-02,1.169688106241e-01,-8.533827184609e-03,-1.098849006610e-03
"                  78",6.556924370190e-01,2.111178411780e-01,1.402277696051e-01,7.728897900361e-01,2.026172836326e-01,1.391258238005e-01,1.171973530171e-01,-8.500557545329e-03,-1.101945804597e-03
"                  79",6.523953734092e-01,2.097368786304e-01,1.630478110372e-01,7.697209406808e-01,2.012557570898e-01,1.619596460424e-01,1.173255672715e-01,-8.481121540614e-03,-1.088164994819e-03
"                  80",6.518202419207e-01,2.092355619822e-01,2.026574583634e-01,7.692208718533e-01,2.007543167013e-01,2.015974905825e-01,1.174006299326e-01,-8.481245280880e-03,-1.059967780927e-03
"                  81",6.570456575669e-01,2.124721254126e-01,1.841686336736e-01,7.745691177308e-01,2.039905560560e-01,1.831322042529e-01,1.175234601639e-01,-8.481569356571e-03,-1.036429420660e-03
"                  82",6.634612043275e-01,2.131944359343e-01,2.461480353681e-01,7.812468833079e-01,2.047172849946e-01,2.451390458999e-01,1.177856789803e-01,-8.477150939740e-03,-1.008989468157e-03
"                  83",6.686775606266e-01,2.115967743821e-01,3.500248673281e-01,7.868757517622e-01,2.031176857797e-01,3.490520171766e-01,1.181981911356e-01,-8.479088602395e-03,-9.728501514517e-04
"                  84",6.599233193841e-01,2.066407316980e-01,1.641779917795e-01,7.785081763694e-01,1.981430915959e-01,1.632632073040e-01,1.185848569853e-01,-8.497640102161e-03,-9.147844754553e-04
"                  85",6.584111347827e-01,1.988490738522e-01,2.884102323882e-01,7.771954345487e-01,1.903013153631e-01,2.875298868277e-01,1.187842997660e-01,-8.547758489073e-03,-8.803455605058e-04
"                  86",6.589373865668e-01,1.885770555332e-01,4.514994797627e-01,7.778956819015e-01,1.798891677919e-01,4.506728227317e-01,1.189582953347e-01,-8.687887741257e-03,-8.266570310321e-04
"                  87",6.577740038622e-01,1.785940356213e-01,4.279840653898e-01,7.769444519198e-01,1.696542216650e-01,4.272287496596e-01,1.191704480576e-01,-8.939813956350e-03,-7.553157302682e-04
"                  88",6.588091969785e-01,1.756059777701e-01,2.965604074711e-01,7.781954502313e-01,1.663330815399e-01,2.958500637662e-01,1.193862532529e-01,-9.272896230121e-03,-7.103437049268e-04
"                  89",6.630990340051e-01,1.878195277182e-01,1.198721170684e-02,7.827659149486e-01,1.782638991933e-01,1.125451529716e-02,1.196668809435e-01,-9.555628524881e-03,-7.326964096848e-04
"                  90",6.702952860724e-01,2.098224730136e-01,-2.479893971078e-01,7.903470494287e-01,2.001546963488e-01,-2.488204373270e-01,1.200517633562e-01,-9.667776664818e-03,-8.310402191425e-04
